community_name,community_address,community_rent,community_rooms,community_description,apartment_no,no_of_bedrooms,no_of_bathrooms,area,floor_no,availability,deposit,Max_rent,Min_rent,amenities,community_amenities
5421 at Dublin Station,"5421 Campbell LnDublin, CA 94568","$2,666",3 Bedrooms,"5421 at Dublin Station features contemporary design, high-style finishes, and unique amenities in Dublin, CA.",326,1,1.0,1107,3,True,425.0,3314.0,3314.0,"['Walnut finish package', 'Den', 'White quartz countertops', 'Stainless steel appliances', 'French door refrigerator', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Frameless glass shower', 'Pattern tiled backsplash', 'Glass top stove', 'Under-mount sinks', 'Air conditioning', 'Microwave', 'Garbage disposal', 'Dishwasher']","['Bike storage room', 'Conference room', 'Controlled-access parking garage', 'Courtyard lounge', 'Elevator', 'Package lockers', 'Pet spa', 'Resort-style pool', 'Sky deck', 'Sky lounge', 'Social lounge', 'State-of-the-art fitness center', 'Steps to BART Dublin Station', 'Walkable to Iron Horse Regional Trail', '120% AMI affordable housing available']"
Island Square,"2758 78th Ave SEMercer Island, WA 98040","$1,894",2 Bedrooms,Our lovely apartment homes redefine the meaning of upscale living on Mercer Island.,209,2,2.0,1157,2,True,350.0,3420.0,3420.0,"['Premium interior', 'Balcony', 'Swiss elm on white finish package', 'Smart Home + GiGstreem Internet', 'Swiss elm cabinetry', 'Quartz countertops', 'Brushed nickel fixtures', 'Stainless steel appliances', 'Wood plank flooring', 'Grey tile kitchen backsplash', 'Undermount sinks', 'Roller shades', 'Ceiling fan', 'Upgraded bathroom finishes', 'Washer and dryer', 'Closet built-ins', 'Soaking tub']","['24-hour fitness center', '24-hour package lockers', '30-day lease guarantee', 'Controlled-access building', 'Conference room', 'Co-working lounge', 'Elevators', 'Entertainment lounge', 'EV charging stations', 'Conference booths', 'On-site retail', 'Parking garage', 'Pet friendly', 'Podcast room', 'Sauna', 'Terrace with fire pit and grilling area']"
2000 Post,"2000 Post StreetSan Francisco, CA 94115","$2,863",3 Bedrooms,"Located in historic San Francisco’s Lower Pacific Heights, 2000 Post apartments are a fabulous home base for life in the Bay.",303,2,2.0,925,3,True,1000.0,4409.0,4409.0,"['Maple on coffee finish package', 'Pacific Heights view', 'Smart home package', 'Granite countertops', 'Black appliances', 'Wood plank flooring', 'Fireplace', 'Closet built-ins', 'Maple cabinetry']","['24-hour package lockers', 'Airbnb-friendly', 'BBQ areas', 'Controlled-access building', 'Electric vehicle charging stations', 'Elevator', 'Fitness center', 'On-site laundry', 'On-site storage', 'Parking garage', 'Pet friendly', 'Resident lounge', 'Spa', 'Swimming pool', 'Zipcar on-site', 'Zen garden']"
HQ,"1532 Harrison St.San Francisco, CA 94103","$2,310",2 Bedrooms,"Featuring modern interiors and inspiring building architecture, HQ offers apartment living that’s sure to complement your style.",319,1,1.0,564,3,True,950.0,3099.0,3099.0,"['Courtyard view', 'Terrace', 'Walnut on white finish package', 'Stainless steel appliances', 'Microwave', 'Quartz countertops', 'Natural wood plank flooring', 'Floor to ceiling windows', 'Washer and dryer', 'Undermount sink', 'Undercabinet lighting', 'Dishwasher', 'Garbage disposal', 'Glass top stove', 'Shower/tub combo', 'Walnut cabinets', 'Soft close cabinets', 'Corner location']","['Airbnb-friendly', 'Bicycle storage & repair tools', 'Courtyards', 'Echelon bikes', 'Elevator', 'Fitness center', 'Gas grills', 'Outdoor kitchen', 'Package lockers', 'Pet friendly', 'Rooftop deck', 'Secured building entrance', 'Storage']"
Hearthstone at Merrill Creek,"1901 Merrill Creek PkwyEverett, WA 98203","$1,756",3 Bedrooms,Enjoy convenient apartment living and the beauty of the Pacific Northwest at our community in Southwest Everett.,A401,2,2.0,1122,3,True,350.0,2299.0,2299.0,"['Updated interior', 'White on white finish package', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Patio/ balcony', 'Pantry', 'Gas fireplace', 'Ceiling fan', 'Walk-in closet', 'Dual vanity', 'Corner location', 'Electric range', 'Microwave', 'Refrigerator', 'Dishwasher', 'White Cabinetry']","['24-hour fitness center', '24-hour sauna', '30-day lease guarantee', 'Airbnb-friendly', 'Sports court', 'Conference rooms', 'Covered parking available', 'Detached garages available', 'BBQ area', 'Heated swimming pool', 'Nature trail', 'Off leash dog park', 'On-site storage', 'Resident lounge', 'Spa']"
Edgewater,"355 Berry StreetSan Francisco, CA 94158","$3,225",2 Bedrooms,"Optimally situated South of Market, these luxury apartments are a premier setting to call home.",338,1,1.0,860,3,True,900.0,3694.0,3694.0,"['Park view', 'Honey maple on black finish package', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Washer and dryer', 'Smart home package', 'Closet built-ins', 'Corner location', 'Honey maple cabinetry']","['Airbnb-friendly', 'Conference room', 'Controlled-access building', 'Co-working lounge', 'Elevator', 'Fitness center', 'Outdoor lounge', 'Package lockers ', 'Parking garage with assigned parking spaces', 'Pet friendly', 'Resident lounge', 'Three courtyards with gaming, jacuzzi, and lounge']"
The Hawthorne Apartments,"14701 Main StreetMill Creek, WA 98012","$2,027",3 Bedrooms,"Enjoy the beauty of Washington, the thrill of nearby Seattle, and the charm of Mill Creek when you call these stylish apartments home.",X3,2,2.0,1175,1,True,350.0,2679.0,2679.0,"['Townhome', 'Attached garage', 'Maple on white finish package', 'Maple cabinetry', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Carpet flooring', 'Stand-alone shower', 'Smart home package', 'Washer and dryer', 'Pantry']","['24-hour emergency maintenance', '30-day lease guarantee', 'Airbnb-friendly', 'Basketball court', 'Covered parking', 'Fitness center', 'Free weights', 'Outdoor shuffleboard', 'Outdoor terrace with fire pit and BBQ area', 'Pet friendly', 'Playground', 'Resident lounge', 'Spa', 'Swimming pool', 'Walking trail']"
388 Beale,"388 Beale StreetSan Francisco, CA 94105","$3,220",3 Bedrooms,"With striking views of the Bay Bridge and East Cut, 388 Beale offers a one-of-a-kind experience in upscale urban living.",1411,1,1.0,808,14,True,825.0,4901.0,4901.0,"['Updated interior', 'White on grey finish package', 'Bay Bridge view', 'Bay view', 'Triangle balcony', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Floor-to-ceiling windows', 'Walk-in closet', 'Corner apartment', 'White cabinetry']","['24-hour package lockers', 'Airbnb-friendly', 'Cabana and fire pit areas', 'Conference rooms', 'Co-working space', 'Electric vehicle charging stations', 'Elevator', 'Fitness center', 'Game lounge - coming soon', 'Locker rooms', 'Meeting spaces', 'Outdoor BBQ lounge', 'Parking garage', 'Pet park', 'Resort style jacuzzi', 'Sauna', 'Social lounge']"
399 Fremont,"399 Fremont StSan Francisco, CA 94105","$2,987",3 Bedrooms,Experience the ultimate metropolitan lifestyle in every way possible at 399 Fremont — San Francisco's most coveted address.,121,1,1.5,1187,-1,True,1225.0,4518.0,4518.0,"['Townhouse', 'Oak finish package', 'Street level access', 'Quartz countertops', 'Bosch stainless steel appliances', 'Wood plank flooring', 'Tile backsplash', 'Washer and dryer', 'Gas stove', 'Kitchen island', 'Floor-to-ceiling windows', 'Tile floors in bathroom', 'Soaking tub', 'Stand-alone shower', 'Den', 'Keyless entry', 'USB outlet', 'White/Oak Cabinetry']","['100% LED building', '24 hour concierge services', '24-hour package lockers', 'Bike storage and repair room', 'City and Bay views', 'Conference rooms', 'Controlled-access building', 'Electric vehicle charging stations', 'Elevator', 'Fitness center with Technogym equipment', 'Lap pool', 'Media lounge', 'On-site storage', 'Outdoor veranda with grilling area', 'Parking garage', 'Pet park with wash', 'Sky Lounge- exclusive to suite level/penthouse residents', 'Spa', 'Social lounge', 'Spinning studio', 'TRX room', 'Wine storage', 'Yoga room']"
The Carriage Homes at Wyndham,"5600 Mulholland DriveGlen Allen, VA 23059","$1,499",3 Bedrooms,"Part of the master-planned golf community of Wyndham, our townhomes are located in Richmond’s desirable West End.",12102,1,1.0,778,1,True,350.0,1603.0,1603.0,"['Updated interior', 'Espresso on granite finish package', 'Espresso cabinetry', 'Assigned parking space', 'Granite countertops', 'Stainless steel appliances', 'Carpet flooring', 'Smart home package', 'Patio/balcony', 'Walk-in closet', 'Soaking tub', 'Corner location', 'Tile floors in kitchen / bathroom']","['24-hour fitness center', 'Billiards room', 'Community grilling space', 'Conference room', 'Dog park with agility equipment', 'Free weights', 'On-site maintenance', 'On-site storage', 'Outdoor Kitchen Cabana', 'Package lockers ', 'Pet friendly', 'Pickleball court', 'Playground', 'Prewired for Comcast and Verizon', 'Swimming pool', 'Walking paths']"
Waterside at Ironbridge,"11800 Lake Falls DriveChester, VA 23831","$1,438",3 Bedrooms,Enjoy scenic lakefront living without giving up the conveniences of the city at these stylish apartments in Chesterfield.,14304,1,1.0,656,3,True,400.0,1837.0,1837.0,"['Premium interior', 'White on white finish package', '14 ft. vaulted ceilings', 'Granite countertops', 'Stainless steel appliances', 'Washer and dryer', 'Patio/balcony', 'Smart home package', 'Breakfast bar', 'Wood burning fireplace', 'Large closet', 'White cabinetry', 'Carpet flooring']","['24-acre lake', '24-hour fitness center', '24-hour package lockers', 'Airbnb-friendly', 'Car care center', 'Catch and release fishing', 'Charcoal grilling station', 'Clubhouse', 'Dog park', 'Lake views', 'Olympic-size swimming pool', 'On-site storage', 'Outdoor kitchen', 'Outdoor lounge', 'Pet friendly', 'Playground', 'Sauna', 'Sundeck', 'Tennis courts (2)']"
Gayton Pointe Townhomes,"9712 Tartuffe DriveRichmond, VA 23238","$1,511",3 Bedrooms,Gayton Pointe Townhomes provide a stylish living experience in Richmond's West End neighborhood of Tuckahoe.,9703,1,1.5,686,1,True,350.0,1511.0,1511.0,"['Smart Home + GiGstreem Internet', 'Maple cabinetry', 'Granite countertops', 'Black appliances', 'Wood plank flooring', 'Washer and dryer', 'Patio/balcony', 'Ceiling fan', 'Gas stove', 'Ceramic tile flooring']","['Billiards', 'Courtyards', 'Detached garages', 'Dog park', 'Fire pit', 'Fitness center', 'Grilling area', 'On-site maintenance', 'On-site storage', 'Outdoor lounge', 'Package lockers ', 'Pet friendly', 'Swimming pool', 'Theater room']"
Legacy at Mayland,"8800 Queensmere PlaceRichmond, VA 23294","$1,382",3 Bedrooms,"Exceptional customer service, top-notch amenities: A warm welcome awaits you at Legacy at Mayland in Henrico.",4,1,1.0,782,1,True,400.0,1426.0,1426.0,"['Non-smoking building', 'Smart Home + GiGstreem Internet', 'Wood plank flooring', 'Washer and dryer', 'Breakfast bar', 'Patio/ balcony', 'Large closet', 'Ceiling fan', 'Corner location']","['24-hour fitness center', '24-hour package lockers', 'Clubhouse', 'Detached garages available', 'Dog park with agility equipment', 'Free weights', 'Gazebo', 'Grilling areas', 'Lighted tennis court', 'New grilling area', 'On-site maintenance', 'On-site storage', 'Pet friendly', 'Playgrounds (2)', 'Sundeck', 'Swimming pools (2)', 'Updated pool deck']"
Milehouse,"8300 160th Ave NERedmond, WA 98052","$1,876",2 Bedrooms,"Designed for design-minded people, Milehouse isn’t just an urban apartment – it’s a beautiful, rewarding place to call home.",403,1,1.0,606,4,True,250.0,1880.0,1880.0,"['Grey/walnut on white finish package', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Juliet balcony', 'USB outlet', 'Pantry', 'Grey/walnut cabinetry']","['30-day lease guarantee', 'Airbnb-friendly', 'Clubhouse with kitchen', 'Conference room', 'Courtyard', 'Crossfit/ yoga studio', 'Dog washing station', 'Elevator', 'Fitness center', 'Media room', 'On-site storage', 'Package lockers', 'Spa', 'Study Area', 'Work room']"
The Kennedy Building,"907 NE 45th St.Seattle, WA 98105","$2,299",2 Bedrooms,The Kennedy Building luxury apartments provide residents with a comfortable living experience high above the University District.,104,1,1.0,750,1,True,350.0,2299.0,2299.0,"['Updated interior', 'Blonde on white finish package', 'Patio/ balcony', 'Quartz countertops', 'Stainless steel appliances', 'Smart home package', 'Breakfast bar', 'Loft', 'Walk-in closet', 'Carpet flooring']","['24-hour fitness center', '24-hour package lockers', '30-day lease guarantee', 'Conference lounge', 'Courtyard', 'Elevators', 'Game and social lounge', 'Parking garage', 'Pet friendly', 'Professional on-site management', 'Rooftop lounge with firepit and grilling areas']"
Lightbox,"4545 8th Ave. NESeattle, WA 98105","$1,499",2 Bedrooms,"Our new luxury apartments in the heart of Seattle’s University District are an ideal place to live, learn and play.",316,1,1.0,484,3,True,350.0,1758.0,1758.0,"['Natural on white finish package', 'Smart home + GiGstreem Internet', 'Stainless steel appliances', 'Natural cabinetry', 'Blonde wood plank flooring', 'Washer and dryer', 'USB outlet']","['24-hour package lockers', '30-day lease guarantee', 'Bike storage', 'Controlled-access building', 'Electric vehicle charging stations', 'Elevators ', 'Fitness center', 'Parking garage', 'Pet friendly', 'Resident lounge ', 'Rooftop lounge with outdoor kitchen, fire pit, and movie theater', 'Trash and recycling chutes']"
TEN20,"10710 NE 10th StreetBellevue, WA 98004","$3,125",2 Bedrooms,TEN20 luxury apartment homes offer classic design mixed with upbeat modernism in the heart of downtown Bellevue.,1303,1,1.0,915,13,True,250.0,3125.0,3125.0,"['Espresso on marbled finish package', 'Marbled granite countertops', 'Stainless steel appliances', 'Hardwood flooring', 'Smart home package', 'Tile backsplash', 'Washer and dryer', 'Walk-in closet', 'Pantry', 'Ceiling fan', 'Tile floors in kitchen/ bathroom', 'Soaking tub', 'Dual vanity', 'Espresso cabinetry']","['24-hour package lockers', '30-day lease guarantee', 'Airbnb-friendly', 'Bike storage', 'Controlled access parking garage', 'Dry cleaning service', 'Electric vehicle charging stations', 'Elevator', 'Executive Lounge', 'Fitness center', 'Limited  access', 'Resident Lounge with gourmet kitchen', 'On-site retail', 'On-site storage', 'Outdoor terrace with BBQ and fireplace', 'Pet friendly', 'Recycling']"
CityLine,"4740 32nd Avenue SouthSeattle, WA 98118","$1,697",2 Bedrooms,"Rich in diversity and community spirit, Columbia City is where you'll want to be. CityLine is at the center of it all.",215,1,1.0,771,2,True,400.0,2257.0,2257.0,"['Oak on white finish package', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Washer and dryer', 'Tile backsplash', 'Den/office', 'Weathered Oak Cabinetry']","['24-hour package pickup', '30-day lease guarantee', 'Bike storage', 'Bocce Ball court', 'Bowling alley', 'Close proximity to light rail', 'Conference rooms', 'LEED Certified Silver', 'On-site Mini-market', 'Parking garage', 'Pet friendly', 'Two fitness centers', 'Two resident lounges', 'Two rooftop terraces', 'Wine storage']"
Elements Apartments,"958 111th Ave NEBellevue, WA 98004","$2,184",2 Bedrooms,"Artful from every angle, the glistening towers of Elements Apartments rise above Bellevue’s vibrant Ashwood Arts District.",1008,0,1.0,414,10,True,250.0,2184.0,2184.0,"['Stainless steel appliances', 'Central heating and air conditioning', 'Smart home package', 'Washer and dryer', 'Tile backsplash', 'Closet built-ins', 'Wood plank flooring']","['24-hour package lockers', '30-day lease guarantee', 'Airbnb-friendly', 'Bike storage', 'Conference rooms', 'Elevator', 'Indoor/outdoor fitness center', 'Indoor swimming pool', 'Media/ gaming room', 'On-site Mini-market', 'On-site retail', 'On-site storage', 'Outdoor lounge', 'Parking garage', 'Pet friendly', 'Resident lounge', 'Yoga studio', 'Zipcar on-site']"
Brio,"11130 NE 10th StreetBellevue, WA 98004","$2,114",2 Bedrooms,Brio apartment homes offer contemporary design and spectacular views in the heart of Bellevue.,1011,1,1.0,585,10,True,250.0,2562.0,2562.0,"['Light finish package', 'East view', 'Cascades view', 'Granite countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Stackable washer and dryer', 'Green glass backsplash', 'Built-in closet organizers', 'Built-in pantry', 'Air conditioning', 'Backlight mirror', 'Under cabinet lighting', 'Soft-close cabinets', 'Honey cabinetry']","['24-hour package room', '30-day lease guarantee', 'Airbnb-friendly', 'Cardio room', 'Conference room', 'Co-working space', 'Dog run', 'Dog wash', 'Elevator', 'EV Charging Stations', 'Fitness center', 'Indoor swimming pool', 'Theater room', 'On-site Mini-market', 'On-site retail', ""Children's lounge"", 'Resident lounge', 'Sport court', 'Terrace with BBQ & firepit']"
Ashton Bellevue,"10710 NE 10th StreetBellevue, WA 98004","$3,299",2 Bedrooms,Our luxury apartments in Bellevue Square afford residents remarkable views of area landmarks and classic Northwest vistas.,2006,1,2.0,1255,20,True,250.0,4206.0,4206.0,"['Espresso on black finish package', 'Granite countertops', 'Stainless steel appliances', 'Wood flooring', 'Tile floors in kitchen/ bathroom', 'Smart home + GiGstreem Internet (coming soon)', 'Washer and dryer', 'Tile backsplash', 'Walk-in closet', 'Soaking tub', 'Ceiling fans in bedrooms', 'Espresso cabinetry']","['30-day lease guarantee', 'Aerobics / cycle studio', 'Airbnb-friendly', 'Billiards room', 'Controlled-access parking garage', 'Dry Cleaning service', 'Electric vehicle charging stations', 'Elevator', 'Fitness center', 'Fitness on demand', 'Media lounge', 'Near transit route', 'On-site maintenance', 'Outdoor terrace', 'Pet friendly', 'Recycling', 'Resident lounge with gourmet kitchen', 'Professional on-site management']"
The Breyley Apartments,"1820 Sunset Point RoadClearwater, FL 33765","$1,383",3 Bedrooms,The carefree ease of cottage living -- without a long drive to the country -- is waiting for you at the Breyley Apartments in Dunedin.,1800A,1,1.0,685,1,True,400.0,1474.0,1474.0,"['Maple finish package', 'Stainless steel appliances', 'Wood plank flooring', 'Tile flooring', 'Smart home package', 'Washer and dryer', 'Patio/balcony', 'Handicap accessible', 'Corner location', 'Maple cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Dog park', 'Car care center', 'Clubhouse', 'Outdoor kitchens', 'Pet friendly', 'Swimming pool', 'Tennis court']"
Inlet Bay at Gateway,"12000 4th Street NorthSt. Petersburg, FL 33716","$1,507",2 Bedrooms,"Located in the Gateway area of St. Petersburg, our beautifully landscaped community provides a true Florida living experience.",2810,1,1.0,825,3,True,400.0,1507.0,1507.0,"['Smart Home + GiGstreem Internet', 'Vaulted ceilings', 'Black appliances', 'Washer and dryer', 'Faux wood blinds', 'Patio/balcony', 'Storage on patio']","['24-hour fitness center', '24-hour package lockers', 'Boat parking', 'Clubhouse', 'Detached garages', 'Dog park', 'Gated community', 'On-site maintenance', 'On-site storage', 'Outdoor kitchen with grilling area', 'Pet friendly', 'Swimming Pools (2)', 'Sundeck', 'Tennis court', 'Valet trash removal']"
MacAlpine Place,"152 Macalpine WayDunedin, FL 34698","$1,504",3 Bedrooms,The brick and cobblestone entryways at MacAlpine Place perfectly complement the European flavor of Dunedin.,21-102,2,2.5,1330,1,True,400.0,2448.0,2448.0,"['Premium interior', 'Teak on white quartz finish package', 'Smart Home + GiGstreem Internet', 'Vaulted ceilings', 'Quartz countertops', 'Silver hardware', 'Stainless steel appliances', 'Subway tile backsplash', 'Undercabinet lighting', 'Wood plank flooring', 'Tile backsplash', 'Washer and dryer', 'Ceiling fans', 'Updated bathroom fixtures', 'Undermount sink', 'Glass top stove', 'White/teak cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Basketball court', 'Billiards', 'Boat and oversized parking', 'Car care center', 'Clubhouse', 'Controlled-access building', 'Detached garages available', 'Dog park', 'EV charging solutions', 'Fire pit', 'Fitness trail', 'Outdoor kitchens', 'Pet friendly', 'Playground', 'Resident events', 'School bus stop on site', 'Soccer field', 'Sundeck', 'Swimming pools', 'Tennis court', 'Yoga room']"
The Preserve at Gateway,"11800 Dr M.L.K. Jr Street NSt. Petersburg, FL 33716","$1,713",2 Bedrooms,"Located just a short drive from downtown St. Petersburg, this relaxing apartment community features upscale amenities and tasteful features in a natural setting.",2208,1,1.0,761,2,True,400.0,1713.0,1713.0,"['Espresso on sand finish package', 'Black appliances', 'Smart Home + GiGstreem Internet', 'Wood plank flooring', 'Additional balcony storage', 'Kitchen island', 'Upgraded hardware & finishes', 'Undermount sinks', 'Walk-in closet', 'Screened-in balcony', 'Ceiling fans throughout', 'Tile backsplash', 'Energy efficient windows', 'Tiled shower', 'Oversized soaking tub', 'Microwave', 'Refrigerator', 'Air conditioner', 'Dishwasher', 'Garbage disposal', 'Corner apartment', 'Espresso cabinetry', 'Sand countertops']","['24-hour Fitness center', '24-hour package lockers ', 'Clubhouse', 'Dog park', 'Grilling stations', 'Nature preserve', 'On-site maintenance', 'Pet-friendly', 'Reserved parking', 'Two swimming pools', 'Up to 3 pets per home allowed', 'Valet trash removal', 'Yoga/spin room']"
The Slade at Channelside,"1190 E Washington StreetTampa, FL 33602","$2,044",3 Bedrooms,"Located in the heart of Tampa’s Channelside District, The Slade at Channelside offers exceptional amenities and refined interiors in an enviable location.",630,1,1.5,858,6,True,400.0,2318.0,2318.0,"['Pool view', 'Espresso on granite finish package', 'Smart Home + GiGstreem Internet', 'Floor-to-ceiling sliding glass doors', 'Balcony', 'Premium cabinetry', 'Washer and dryer', 'Wood plank flooring', 'Granite countertops', 'Tile backsplash', 'Walk-in closets', 'Ceiling fan', 'Central heating and air', 'Side-by-side refrigerator', 'Dishwasher', 'Garbage disposal', 'Microwave', 'Marble vanity countertops', 'Espresso cabinetry']","['Airbnb-friendly', 'Bike storage', 'Concierge', 'Controlled access parking garage', 'Elevators', 'Micro-offices', 'On-site storage', 'Outdoor kitchens', 'Package lockers', 'Pet friendly', 'Pool table', 'Resident lounge', 'Skyview Deck', 'Spa', 'Spin room', 'Two pools with cabanas - Infinity pool and Saltwater pool', 'Two-story fitness center']"
The Vintage Lofts at West End,"801 North Rome AvenueTampa, FL 33606","$1,637",3 Bedrooms,Enjoy our luxury apartments that redefine the way people experience apartment living in North Hyde Park.,6108,0,1.0,522,1,True,550.0,1655.0,1655.0,"['Smart Home + GiGstreem Internet', 'Granite countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Faux Wood Blinds']","['24-hour fitness center', '24-hour package lockers', 'Airbnb-friendly', 'Bike storage', 'Controlled-access building', 'Dog park with splash pad', 'Elevator', 'Fire pit', 'Four story parking garage', 'Free weights', 'On-site storage', 'Outdoor kitchen', 'Pet friendly', 'Reserved parking', 'Resident lounge', 'Swimming pool', 'Yoga room']"
101 N Meridian,"101 N. Meridian AveTampa, FL 33602","$2,064",3 Bedrooms,"Experience modern amenities, impressive interiors, and Tampa’s energetic spirit from 101 N. Meridian’s Channelside District location.",1009,1,1.0,498,10,True,350.0,2214.0,2214.0,"['Terrace view', 'Patio/balcony', 'Downtown view', 'Iron grey on white finish package', 'Smart Home + GiGstreem Internet', 'Quartz countertops', 'Stainless steel appliances', 'Side by side refrigerator', 'Under cabinet lighting', 'Wood plank flooring', 'Washer and dryer', 'Tile backsplash', 'Walk-in closet', 'Frameless glass enclosed shower', 'Tiled bathroom', 'USB outlets', 'Air conditioning', 'Dishwasher', 'Microwave', 'Garbage disposal', 'Ceiling fans', 'Grey/walnut cabinetry']","['24-hour concierge', '4 outdoor grilling stations', 'Community kitchen and dining area', 'Conference room', 'Dog run', 'EV charging solutions', 'Elevators', 'Fitness center', 'Food delivery station', 'LEED Gold certification', 'Lounge seating outdoors and indoors', 'Outdoor and indoor fireplaces', 'Open concept working stations and enclosed private spaces', 'Parking garage with controlled access', 'Pet friendly', 'Pet spa', 'Retreat terrace', 'Sky lounge', 'Spin bikes', 'Swimming pool', 'Work from home spaces', 'Yoga studio']"
Peridot Palms,"10601 Gandy Blvd NSt. Petersburg, FL 33702","$1,875",3 Bedrooms,"Located just a short drive from downtown St. Petersburg, this modern community features upscale amenities conveniently close to great shopping, dining, and the best of the city.",5106,1,1.0,615,1,True,400.0,1926.0,1926.0,"['Lake view', 'Espresso on white finish package', 'Smart Home + GiGstreem Internet', 'Balcony', 'Granite countertops', 'Stainless steel appliances', 'Under-mount sinks', 'Kitchen pantry', 'Wood plank flooring', 'Washer and dryer', 'High ceilings', 'Dishwasher', 'Glass enclosed shower', 'Ceiling fan', 'USB outlets', 'Air Conditioner', 'Microwave', 'Espresso cabinetry']","['24-hour package lockers', 'Bike storage in each building', 'Boxing studio', 'Business center', 'Clubroom with grand fireplace', 'Conference room with multi-media capability', 'Controlled access gates', 'Covered car care center', 'Demonstration kitchen', 'Dog park with agility station and pet wash', 'Dry cleaning acceptance', 'Elevator in each building', 'Fitness on Demand™', 'Formal dining room', 'Game Room with pool table and shuffleboard', 'Indoor & outdoor kayak storage', 'Lanai overlooking pool', 'Media room', 'MosquitoNix® mister system at pool', 'Outdoor entertaining kitchen', 'Pet friendly', 'Playground', 'Pool with cabanas', 'Private garages and storage available', 'Putting green', 'Spa', 'Spa facility with sauna and shower', 'Spin room', 'Sundeck with fire pit', 'Tanning beds', 'Two-story fitness center']"
Marina Playa,"3500 Granada AvenueSanta Clara, CA 95051","$2,374",3 Bedrooms,"Marina Playa apartments in Santa Clara offer spacious one-, two-, and three-bedroom homes with convenient access to shopping, dining, and major Silicon Valley employers.",115,1,1.0,664,1,True,500.0,2454.0,2454.0,"['Oak on white finish package', 'Stainless steel appliances', 'Pantry', 'Wood plank flooring', 'Smart home package', 'Patio/balcony', 'Large closet', 'Closet built-ins', 'White countertops', 'Oak cabinetry']","['Airbnb-friendly', 'Bus service', 'Conference rooms', 'Covered parking', 'Fitness center', 'Grilling area', 'On-site laundry', 'On-site storage', 'Pet friendly', 'Resident lounge', 'Spa', 'Two swimming pools', 'Tennis courts']"
Birch Creek,"575 S. Rengstorff AvenueMountain View, CA 94040","$2,617",2 Bedrooms,Our apartments provide numerous amenities and stylish living in Mountain View.,173,1,1.0,550,1,True,500.0,2672.0,2672.0,"['Courtyard view', 'Pool view', 'Oak on sand finish package', 'Water/Sewer/Gas/Trash included', 'Parking included', 'Stainless steel appliances', 'Wood plank flooring', 'Walk-in closet', 'Smart home package', 'Patio/balcony', 'Closet built-ins', 'Breakfast bar', 'Corner location', 'Oak cabinetry', 'Sand countertops']","['Covered parking', 'Fitness center', 'Grilling area', 'Pet friendly', 'Resident lounge', 'Sauna', 'Spa', 'Swimming pool']"
Almaden Lake Village,"1045 Coleman RdSan Jose, CA 95123","$2,825",3 Bedrooms,Our stylish apartments provide an ideal living experience in Almaden Lake near the bustling urban city of San Jose.,1106,2,2.0,1016,1,True,650.0,3501.0,3501.0,"['Chestnut on white finish package', 'Chestnut cabinetry', 'Courtyard view', 'Patio', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Pantry', 'Ceiling fan', 'Storage on patio', 'Closet built-ins', 'Screen door']","['Airbnb-friendly', 'BBQ park with fire pit', 'Co-working lounge', 'Conference room', 'Dog park', 'Electric vehicle charging stations', 'Indoor/Outdoor fitness center', 'On-site Mini-market', 'Outdoor resident lounge ', 'Parking garage', 'Pet friendly', 'Resident lounge', 'Spa', 'Swimming pool']"
River Terrace,"730 Agnew RoadSanta Clara, CA 95054","$3,099",3 Bedrooms,"Located in the upscale, pedestrian-friendly community of Santa Clara, River Terrace apartments are the ideal place to call home.",156,1,1.0,719,1,True,500.0,3099.0,3099.0,"['Updated interior', 'Pool view', 'White/espresso on white finish package', 'Quartz countertops', 'Stainless steel appliances', 'Gas stove', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Patio/balcony', 'Walk-in closet', 'Closet built-ins', 'Roman soaking tub', 'Central A/C and heat', 'White/Espresso Cabinetry']","['24-hour package lockers', 'Airbnb-friendly', 'Conference room with Wi-Fi', 'Covered parking', 'Dog park', 'Fitness center', 'On-site storage', 'Outdoor resident lounge', 'Pet friendly', 'Poolside lounge with fire pit', 'Spa', 'Swimming pool']"
